Term,Document,Frequency,Weight
research,D1,2,0.19084850188786498
hav,D1,1,0.09542425094393249
success,D1,1,0.16901960800285137
apply,D1,1,0.16901960800285137
larg,D1,1,0.07958800173440753
langu,D1,1,0.09542425094393249
model,D1,3,0.1806179973983887
llms,D1,2,0.19084850188786498
chatgpt,D1,1,0.16901960800285137
rerank,D1,5,0.8450980400142568
inform,D1,1,0.12041199826559248
retriev,D1,1,0.06848453616444126
context,D1,1,0.12041199826559248
dat,D1,1,0.09542425094393249
work,D1,2,0.24082399653118497
built,D1,1,0.16901960800285137
propriet,D1,1,0.16901960800285137
hid,D1,1,0.16901960800285137
behind,D1,2,0.33803921600570275
opaqu,D1,1,0.16901960800285137
ap,D1,1,0.12041199826559248
endpoint,D1,1,0.16901960800285137
thi,D1,2,0.12041199826559248
approach,D1,1,0.09542425094393249
yield,D1,1,0.12041199826559248
expery,D1,2,0.19084850188786498
result,D1,2,0.13696907232888253
ar,D1,1,0.07958800173440753
reproduc,D1,1,0.16901960800285137
non-deterministic,D1,1,0.16901960800285137
threatening,D1,1,0.16901960800285137
verac,D1,1,0.16901960800285137
outcom,D1,1,0.16901960800285137
build,D1,1,0.16901960800285137
shaky,D1,1,0.16901960800285137
found,D1,2,0.33803921600570275
address,D1,1,0.07958800173440753
sign,D1,1,0.09542425094393249
shortcom,D1,1,0.16901960800285137
pres,D1,1,0.16901960800285137
rankvicun,D1,1,0.16901960800285137
first,D1,1,0.12041199826559248
ful,D1,1,0.12041199826559248
open-source,D1,1,0.16901960800285137
llm,D1,1,0.09542425094393249
cap,D1,1,0.12041199826559248
perform,D1,1,0.06848453616444126
high-quality,D1,1,0.16901960800285137
listw,D1,1,0.12041199826559248
zero-shot,D1,2,0.24082399653118497
set,D1,1,0.12041199826559248
trec,D1,1,0.07958800173440753
2019,D1,1,0.16901960800285137
2020,D1,1,0.16901960800285137
deep,D1,1,0.09542425094393249
learn,D1,1,0.07958800173440753
track,D1,1,0.16901960800285137
show,D1,1,0.12041199826559248
achiev,D1,1,0.16901960800285137
effect,D1,2,0.13696907232888253
comp,D1,1,0.07958800173440753
gpt-3.5,D1,1,0.16901960800285137
much,D1,1,0.16901960800285137
smal,D1,1,0.16901960800285137
7b,D1,1,0.16901960800285137
