Term,Document,Frequency,Weight
research,D1,2,0.19084850188786498
success,D1,1,0.16901960800285137
appli,D1,1,0.16901960800285137
larg,D1,1,0.07958800173440753
languag,D1,1,0.09542425094393249
model,D1,3,0.1806179973983887
llm,D1,3,0.28627275283179743
chatgpt,D1,1,0.16901960800285137
rerank,D1,5,0.8450980400142568
inform,D1,1,0.12041199826559248
retriev,D1,1,0.06848453616444126
context,D1,1,0.16901960800285137
date,D1,1,0.16901960800285137
work,D1,2,0.24082399653118497
ha,D1,1,0.12041199826559248
mostli,D1,1,0.16901960800285137
built,D1,1,0.16901960800285137
proprietari,D1,1,0.16901960800285137
hidden,D1,1,0.16901960800285137
behind,D1,2,0.33803921600570275
opaqu,D1,1,0.16901960800285137
api,D1,1,0.16901960800285137
endpoint,D1,1,0.16901960800285137
thi,D1,2,0.12041199826559248
approach,D1,1,0.09542425094393249
yield,D1,1,0.12041199826559248
experiment,D1,2,0.24082399653118497
result,D1,2,0.13696907232888253
reproduc,D1,1,0.16901960800285137
non-determinist,D1,1,0.16901960800285137
threaten,D1,1,0.16901960800285137
verac,D1,1,0.16901960800285137
outcom,D1,1,0.16901960800285137
build,D1,1,0.16901960800285137
shaki,D1,1,0.16901960800285137
foundat,D1,2,0.33803921600570275
address,D1,1,0.07958800173440753
signific,D1,1,0.12041199826559248
shortcom,D1,1,0.16901960800285137
present,D1,1,0.16901960800285137
rankvicuna,D1,1,0.16901960800285137
first,D1,1,0.12041199826559248
fulli,D1,1,0.16901960800285137
open-sourc,D1,1,0.16901960800285137
capabl,D1,1,0.12041199826559248
perform,D1,1,0.06848453616444126
high-qual,D1,1,0.16901960800285137
listwis,D1,1,0.12041199826559248
zero-shot,D1,2,0.24082399653118497
set,D1,1,0.12041199826559248
trec,D1,1,0.07958800173440753
2019,D1,1,0.16901960800285137
2020,D1,1,0.16901960800285137
deep,D1,1,0.09542425094393249
learn,D1,1,0.07958800173440753
track,D1,1,0.16901960800285137
show,D1,1,0.12041199826559248
achiev,D1,1,0.16901960800285137
effect,D1,2,0.13696907232888253
compar,D1,1,0.07958800173440753
gpt-3.5,D1,1,0.16901960800285137
much,D1,1,0.16901960800285137
smaller,D1,1,0.16901960800285137
7b,D1,1,0.16901960800285137
paramet,D1,1,0.16901960800285137
although,D1,1,0.16901960800285137
remain,D1,1,0.16901960800285137
slightli,D1,1,0.16901960800285137
gpt-4,D1,1,0.16901960800285137
hope,D1,1,0.16901960800285137
provid,D1,1,0.16901960800285137
futur,D1,1,0.16901960800285137
