Term,Document,Frequency,Weight
research,D1,2,0.24082399653118497
success,D1,1,0.16901960800285137
appli,D1,1,0.16901960800285137
larg,D1,1,0.07958800173440753
languag,D1,1,0.09542425094393249
model,D1,2,0.12041199826559248
(llms),D1,1,0.09542425094393249
chatgpt,D1,1,0.16901960800285137
rerank,D1,5,0.8450980400142568
inform,D1,1,0.12041199826559248
retriev,D1,1,0.06848453616444126
"context,",D1,1,0.16901960800285137
"date,",D1,1,0.16901960800285137
work,D1,2,0.33803921600570275
ha,D1,1,0.12041199826559248
mostli,D1,1,0.16901960800285137
built,D1,1,0.16901960800285137
proprietari,D1,1,0.16901960800285137
hidden,D1,1,0.16901960800285137
behind,D1,2,0.33803921600570275
opaqu,D1,1,0.16901960800285137
api,D1,1,0.16901960800285137
endpoints.,D1,1,0.16901960800285137
thi,D1,2,0.12041199826559248
approach,D1,1,0.09542425094393249
yield,D1,1,0.12041199826559248
experiment,D1,2,0.24082399653118497
result,D1,2,0.13696907232888253
reproduc,D1,1,0.16901960800285137
"non-deterministic,",D1,1,0.16901960800285137
threaten,D1,1,0.16901960800285137
verac,D1,1,0.16901960800285137
outcom,D1,1,0.16901960800285137
build,D1,1,0.16901960800285137
shaki,D1,1,0.16901960800285137
foundations.,D1,1,0.16901960800285137
address,D1,1,0.07958800173440753
signific,D1,1,0.12041199826559248
"shortcoming,",D1,1,0.16901960800285137
present,D1,1,0.16901960800285137
"rankvicuna,",D1,1,0.16901960800285137
first,D1,1,0.12041199826559248
fulli,D1,1,0.16901960800285137
open-sourc,D1,1,0.16901960800285137
llm,D1,1,0.09542425094393249
capabl,D1,1,0.12041199826559248
perform,D1,1,0.07958800173440753
high-qual,D1,1,0.16901960800285137
listwis,D1,1,0.12041199826559248
zero-shot,D1,2,0.24082399653118497
setting.,D1,1,0.16901960800285137
trec,D1,1,0.07958800173440753
2019,D1,1,0.16901960800285137
2020,D1,1,0.16901960800285137
deep,D1,1,0.09542425094393249
learn,D1,1,0.07958800173440753
track,D1,1,0.16901960800285137
show,D1,1,0.12041199826559248
achiev,D1,1,0.16901960800285137
effect,D1,2,0.13696907232888253
compar,D1,1,0.07958800173440753
gpt-3.5,D1,1,0.16901960800285137
much,D1,1,0.16901960800285137
smaller,D1,1,0.16901960800285137
7b,D1,1,0.16901960800285137
paramet,D1,1,0.16901960800285137
"model,",D1,1,0.16901960800285137
although,D1,1,0.16901960800285137
remain,D1,1,0.16901960800285137
slightli,D1,1,0.16901960800285137
gpt-4.,D1,1,0.16901960800285137
hope,D1,1,0.16901960800285137
provid,D1,1,0.16901960800285137
foundat,D1,1,0.16901960800285137
futur,D1,1,0.16901960800285137
modern,D1,1,0.16901960800285137
llms.,D1,1,0.16901960800285137
advent,D2,1,0.14084967333570947
transformer-bas,D2,3,0.4225490200071284
"architectures,",D2,1,0.14084967333570947
contextu,D2,2,0.28169934667141894
represent,D2,2,0.28169934667141894
text,D2,4,0.5633986933428379
data,D2,1,0.10034333188799373
ha,D2,2,0.20068666377598746
leverag,D2,1,0.10034333188799373
queri,D2,5,0.3316166738933647
document,D2,5,0.28535223401850524
repres,D2,1,0.10034333188799373
low-dimension,D2,1,0.14084967333570947
dens,D2,3,0.3010299956639812
vector,D2,5,0.7042483666785474
space.,D2,1,0.10034333188799373
learn,D2,2,0.13264666955734586
embed,D2,1,0.07952020911994373
fix,D2,1,0.14084967333570947
"sizes,",D2,1,0.14084967333570947
result,D2,1,0.05707044680370105
deeper,D2,2,0.28169934667141894
understanding.,D2,1,0.14084967333570947
thi,D2,1,0.050171665943996864
"study,",D2,1,0.14084967333570947
design,D2,1,0.10034333188799373
pipelin,D2,1,0.14084967333570947
effect,D2,1,0.05707044680370105
retriev,D2,3,0.17121134041110314
larg,D2,1,0.06632333477867293
search,D2,1,0.10034333188799373
space,D2,1,0.10034333188799373
